0   0   41 39 41 39 41 39 41 46 46 41 41 41 41 41
39 39 37 37 39 37 37 41 41 41 41 41 41 41 41 41
0   0   41 39 41 39 41 39 41 46 46 48 48 49 49 51
51 51 49 49 49 46 48 48 48 48 48 48 0   0   42 41
42 42 41 42 42 49 49 49 49 48 48 48 0   0   41 41
53 53 53 53 51 51 49 51 51 49 46 46 46 46 46 48
49 49 46 49 49 49 49 49 49 49 46 49 49 51 51 49
48 48 48 48 0   0   46 48 48 48 48 48 53 51 49 48
49 49 41 41 41 49 49 48 48 48 48 48 48 46 44 44
46 46 46 37 37 46 46 44 44 44 44 44 44 42 41 41
42 42 42 41 42 42 53 53 53 53 51 49 49 49 46 48
49 49 49 49 49 51 46 46 46 48 48 48 53 51 49 48
49 49 41 41 41 49 49 48 48 48 48 48 48 46 44 44
46 46 46 46 46 48 48 46 46 44 44 44 44 42 41 41
42 42 42 41 42 42 53 53 53 53 51 49 49 49 46 48
49 49 49 49 49 51 46 46 46 48 48 48 44 44 44 48
48 46 46 46 46 46 46 46 0   0   0   0   0   0   0   0  
44 44 48 48 48 48 46 46 46 46 46 46 46 46 46 46




Am(5) Am(5) Am(5) Am(5)
Am(5)/G Am(5)/G Am(5)/G Am(5)/G
Fmaj7(3) Fmaj7(3) Fmaj7(3) Fmaj7(3)
E E E E
Am(5) Am(5) Am(5)/G Am(5)/G
Fmaj7(3) Fmaj7(3) E E
Dm7 Dm7 E7 E7
Am G F F
Dm7 Dm7 F F
E7 E7 E7 E7
Am Am G G
F F C/E C/E
Dm Dm Am Am
F F E E 
Am Am G G
F F C/E C/E
Dm Dm Am Am
F F E E 
Am(5) Am(5) Am(5)/G Am(5)/G
Am Am Am Am
